Run_ID,Timestamp,Scenario_Name,Scenario_ID,Job_Type,Status,Credits_Total,Credits_In,Credits_Out,Model,Input_Tokens,Output_Tokens,Artifacts_Link,Severity,Risk_Flags,Risk_Summary,Misconfig_Likelihood,Baseline_Expected_Credits,Variance_Multiplier
RUN-20260120-001,2026-01-20T08:30:00Z,Document Analysis Standard,DOC_ANALYSIS_v1,ANALYSIS,Success,145,100,45,gpt-4,12000,3200,https://drive.google.com/artifacts/001,SEV4,,Normal operation,Low,150,0.97
RUN-20260120-002,2026-01-20T10:15:00Z,Binder Export Quarterly,BINDER_EXPORT_v2,BINDER_EXPORT,Success,320,220,100,gpt-4,28000,7500,https://drive.google.com/artifacts/002,SEV4,,Normal operation,Low,320,1.00
RUN-20260120-003,2026-01-20T14:22:00Z,Reconcile Daily Backfill,RECONCILE_v1,RECONCILE_BACKFILL,Success,850,600,250,gpt-4,75000,18000,https://drive.google.com/artifacts/003,SEV3,"batch_job,backfill_mode",Legit backfill operation,Low,400,2.13
RUN-20260120-004,2026-01-20T16:45:00Z,Document Analysis Standard,DOC_ANALYSIS_v1,ANALYSIS,Success,155,105,50,gpt-4,12500,3500,https://drive.google.com/artifacts/004,SEV4,,Normal operation,Low,150,1.03
RUN-20260121-005,2026-01-21T09:00:00Z,Binder Export Quarterly,BINDER_EXPORT_v2,BINDER_EXPORT,Success,680,480,200,gpt-4,58000,15000,https://drive.google.com/artifacts/005,SEV2,"sudden_prompt_growth",Moderate variance - monitoring,Medium,320,2.13
RUN-20260121-006,2026-01-21T11:30:00Z,Binder Export Quarterly,BINDER_EXPORT_v2,BINDER_EXPORT,Success,2480,1800,680,gpt-4,220000,52000,https://drive.google.com/artifacts/006,SEV1,"retry_loop,missing_idempotency",High credit spike - retry loop detected,High,320,7.75
RUN-20260121-007,2026-01-21T13:15:00Z,Document Analysis Standard,DOC_ANALYSIS_v1,ANALYSIS,Success,148,102,46,gpt-4,12200,3300,https://drive.google.com/artifacts/007,SEV4,,Normal operation,Low,150,0.99
RUN-20260121-008,2026-01-21T15:45:00Z,PII Review Batch,PII_REVIEW_v1,ANALYSIS,Quarantined,3200,2400,800,gpt-4,300000,62000,https://drive.google.com/artifacts/008,SEV0,"pii_exposure,unbounded_iterator,retry_loop",CRITICAL: PII exposure with unbounded iteration,High,200,16.00
RUN-20260122-009,2026-01-22T08:00:00Z,Document Analysis Standard,DOC_ANALYSIS_v1,ANALYSIS,Success,152,104,48,gpt-4,12400,3400,https://drive.google.com/artifacts/009,SEV4,,Normal operation,Low,150,1.01
RUN-20260122-010,2026-01-22T10:30:00Z,Reconcile Daily Backfill,RECONCILE_v1,RECONCILE_BACKFILL,Success,920,650,270,gpt-4,78000,19500,https://drive.google.com/artifacts/010,SEV3,"batch_job,backfill_mode,linear_scaling",Legit batch operation with linear scaling,Low,400,2.30
